DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,24.3067034,-18.202365,2018-12-02T19:00:41Z,1.4,Resident,M
Abel,27416,24.3614106,-18.1910654,2018-12-02T15:00:51Z,1.2,Resident,M
Abel,27416,24.3614301,-18.1911212,2018-12-02T07:00:34Z,1,Resident,M
Abel,27416,24.4283615,-18.2127326,2018-12-02T03:00:29Z,1.2,Resident,M
Abel,27416,24.3976814,-18.2175628,2018-12-01T23:00:22Z,1,Resident,M
Abel,27416,24.3975688,-18.2173786,2018-12-01T19:00:46Z,1,Resident,M
Abel,27416,24.4117197,-18.2055408,2018-12-01T15:01:09Z,1.2,Resident,M
Abel,27416,24.4115222,-18.2058182,2018-12-01T07:00:21Z,1.2,Resident,M
Abel,27416,24.3189859,-18.2066239,2018-12-01T03:00:29Z,2,Resident,M
Abel,27416,24.2746361,-18.1684768,2018-11-30T23:00:38Z,1,Resident,M
Abel,27416,24.2743991,-18.1685292,2018-11-30T19:00:42Z,1,Disperser,M
Abel,27416,24.22165,-18.1311179,2018-11-30T15:00:40Z,1.2,Disperser,M
Abel,27416,24.2301818,-18.1254565,2018-11-30T07:00:40Z,1,Disperser,M
Abel,27416,24.1977811,-18.1354278,2018-11-30T03:01:12Z,1.2,Disperser,M
Abel,27416,24.1977127,-18.1354803,2018-11-29T23:00:32Z,1.2,Disperser,M
Abel,27416,24.1972824,-18.1318026,2018-11-29T19:00:38Z,1,Disperser,M
Abel,27416,24.1407537,-18.1138714,2018-11-29T15:01:26Z,1.2,Disperser,M
Abel,27416,24.1371463,-18.1099429,2018-11-29T07:00:23Z,1.2,Disperser,M
Abel,27416,24.2178875,-18.0785142,2018-11-29T03:00:26Z,3,Disperser,M
Abel,27416,24.1936323,-18.0673543,2018-11-28T23:00:26Z,1.2,Disperser,M
Abel,27416,24.1937249,-18.0673524,2018-11-28T19:00:39Z,1,Disperser,M
Abel,27416,24.1882955,-18.0354589,2018-11-28T15:00:40Z,1.2,Disperser,M
Abel,27416,24.1875853,-18.03671,2018-11-28T07:00:38Z,1.4,Disperser,M
Abel,27416,24.1878731,-18.0346661,2018-11-28T03:00:28Z,1.6,Disperser,M
Abel,27416,24.2209229,-18.0407427,2018-11-27T23:00:39Z,1,Disperser,M
Abel,27416,24.2209506,-18.0416243,2018-11-27T19:00:29Z,1.8,Disperser,M
Abel,27416,24.2654308,-18.0228952,2018-11-27T15:00:24Z,1.2,Disperser,M
Abel,27416,24.2650438,-18.0228787,2018-11-27T09:00:39Z,1.6,Disperser,M
Abel,27416,24.2651919,-18.022841,2018-11-27T07:00:23Z,1.2,Disperser,M
Abel,27416,24.26503,-18.0230622,2018-11-27T05:00:40Z,1.2,Disperser,M
Abel,27416,24.2147589,-18.0271619,2018-11-27T03:00:27Z,1.4,Disperser,M
Abel,27416,24.1535414,-18.0902131,2018-11-27T01:00:20Z,1.2,Disperser,M
Abel,27416,24.1201741,-18.1336679,2018-11-26T23:00:33Z,1,Disperser,M
Abel,27416,24.1204323,-18.1335694,2018-11-26T21:00:12Z,1.8,Disperser,M
Abel,27416,24.1197451,-18.1331532,2018-11-26T19:00:39Z,1.4,Disperser,M
Abel,27416,24.1197526,-18.1331563,2018-11-26T17:00:17Z,1.2,Disperser,M
Abel,27416,24.0373122,-18.1679484,2018-11-26T15:00:38Z,1.2,Disperser,M
Abel,27416,24.0372134,-18.1678726,2018-11-26T07:00:39Z,1,Disperser,M
Abel,27416,23.9610797,-18.2618777,2018-11-26T03:01:00Z,1.6,Disperser,M
Abel,27416,23.8338367,-18.362015,2018-11-25T23:00:24Z,1.2,Disperser,M
Abel,27416,23.7785737,-18.4047016,2018-11-25T19:00:29Z,1.2,Disperser,M
Abel,27416,23.775531,-18.3936943,2018-11-25T15:00:37Z,1.2,Disperser,M
Abel,27416,23.7756522,-18.3956106,2018-11-25T07:00:39Z,1.2,Disperser,M
Abel,27416,23.7578467,-18.4781952,2018-11-25T03:00:38Z,1.2,Disperser,M
Abel,27416,23.7663919,-18.6714461,2018-11-24T23:00:27Z,1.4,Disperser,M
Abel,27416,23.7659751,-18.6713811,2018-11-24T19:00:31Z,1,Disperser,M
Abel,27416,23.7526687,-18.7207115,2018-11-24T15:00:38Z,1,Disperser,M
Abel,27416,23.7531921,-18.72061,2018-11-24T07:00:36Z,1,Disperser,M
